Hour,Minute,SensorID,SmartObjectID,CurrentReading,RecordedTime,SensorType,SmartObjectLocation,SmartObjectName
20,22,1,1,24.40,"2024-04-11 20:22:14",Humidity,Arkonor,CafeteriaInside
20,22,1,1,24.50,"2024-04-11 20:22:17",Humidity,Arkonor,CafeteriaInside
20,22,1,1,24.40,"2024-04-11 20:22:20",Humidity,Arkonor,CafeteriaInside
20,22,1,1,24.30,"2024-04-11 20:22:23",Humidity,Arkonor,CafeteriaInside
20,22,1,1,24.30,"2024-04-11 20:22:26",Humidity,Arkonor,CafeteriaInside
20,22,1,1,24.50,"2024-04-11 20:22:29",Humidity,Arkonor,CafeteriaInside
20,22,1,1,24.50,"2024-04-11 20:22:32",Humidity,Arkonor,CafeteriaInside
20,22,1,1,24.40,"2024-04-11 20:22:35",Humidity,Arkonor,CafeteriaInside
20,22,1,1,24.40,"2024-04-11 20:22:38",Humidity,Arkonor,CafeteriaInside
20,22,1,1,24.60,"2024-04-11 20:22:41",Humidity,Arkonor,CafeteriaInside
20,22,1,1,24.60,"2024-04-11 20:22:44",Humidity,Arkonor,CafeteriaInside
20,26,1,1,25.30,"2024-04-11 20:26:30",Humidity,Arkonor,CafeteriaInside
20,26,1,1,25.30,"2024-04-11 20:26:33",Humidity,Arkonor,CafeteriaInside
20,26,1,1,25.20,"2024-04-11 20:26:36",Humidity,Arkonor,CafeteriaInside
20,26,1,1,25.20,"2024-04-11 20:26:39",Humidity,Arkonor,CafeteriaInside
20,26,1,1,25.10,"2024-04-11 20:26:42",Humidity,Arkonor,CafeteriaInside
20,26,1,1,25.00,"2024-04-11 20:26:45",Humidity,Arkonor,CafeteriaInside
20,26,1,1,24.90,"2024-04-11 20:26:48",Humidity,Arkonor,CafeteriaInside
20,26,1,1,24.80,"2024-04-11 20:26:51",Humidity,Arkonor,CafeteriaInside
20,26,1,1,24.90,"2024-04-11 20:26:54",Humidity,Arkonor,CafeteriaInside
20,26,1,1,24.90,"2024-04-11 20:26:57",Humidity,Arkonor,CafeteriaInside
20,27,1,1,24.90,"2024-04-11 20:27:00",Humidity,Arkonor,CafeteriaInside
20,27,1,1,24.90,"2024-04-11 20:27:03",Humidity,Arkonor,CafeteriaInside
20,27,1,1,24.80,"2024-04-11 20:27:06",Humidity,Arkonor,CafeteriaInside
20,27,1,1,74.00,"2024-04-11 20:27:25",Humidity,Arkonor,CafeteriaInside
20,27,1,1,74.00,"2024-04-11 20:27:28",Humidity,Arkonor,CafeteriaInside
20,27,1,1,74.10,"2024-04-11 20:27:31",Humidity,Arkonor,CafeteriaInside
20,27,1,1,74.20,"2024-04-11 20:27:34",Humidity,Arkonor,CafeteriaInside
20,27,1,1,74.10,"2024-04-11 20:27:37",Humidity,Arkonor,CafeteriaInside
20,27,1,1,74.00,"2024-04-11 20:27:42",Humidity,Arkonor,CafeteriaInside
20,27,1,1,74.00,"2024-04-11 20:27:43",Humidity,Arkonor,CafeteriaInside
20,27,1,1,74.00,"2024-04-11 20:27:49",Humidity,Arkonor,CafeteriaInside
20,27,1,1,73.90,"2024-04-11 20:27:52",Humidity,Arkonor,CafeteriaInside
20,27,1,1,73.80,"2024-04-11 20:27:56",Humidity,Arkonor,CafeteriaInside
20,27,1,1,73.60,"2024-04-11 20:27:58",Humidity,Arkonor,CafeteriaInside
20,28,1,1,73.60,"2024-04-11 20:28:01",Humidity,Arkonor,CafeteriaInside
20,28,1,1,73.70,"2024-04-11 20:28:04",Humidity,Arkonor,CafeteriaInside
20,28,1,1,74.00,"2024-04-11 20:28:07",Humidity,Arkonor,CafeteriaInside
20,28,1,1,74.20,"2024-04-11 20:28:15",Humidity,Arkonor,CafeteriaInside
20,28,1,1,74.10,"2024-04-11 20:28:18",Humidity,Arkonor,CafeteriaInside
20,28,1,1,74.00,"2024-04-11 20:28:21",Humidity,Arkonor,CafeteriaInside
20,28,1,1,73.80,"2024-04-11 20:28:24",Humidity,Arkonor,CafeteriaInside
20,28,1,1,73.80,"2024-04-11 20:28:27",Humidity,Arkonor,CafeteriaInside
20,28,1,1,73.80,"2024-04-11 20:28:30",Humidity,Arkonor,CafeteriaInside
20,28,1,1,73.80,"2024-04-11 20:28:33",Humidity,Arkonor,CafeteriaInside
20,28,1,1,73.80,"2024-04-11 20:28:36",Humidity,Arkonor,CafeteriaInside
20,28,1,1,73.80,"2024-04-11 20:28:39",Humidity,Arkonor,CafeteriaInside
20,28,1,1,73.90,"2024-04-11 20:28:42",Humidity,Arkonor,CafeteriaInside
20,28,1,1,73.90,"2024-04-11 20:28:45",Humidity,Arkonor,CafeteriaInside
20,28,1,1,73.80,"2024-04-11 20:28:48",Humidity,Arkonor,CafeteriaInside
20,28,1,1,73.70,"2024-04-11 20:28:51",Humidity,Arkonor,CafeteriaInside
20,28,1,1,73.70,"2024-04-11 20:28:54",Humidity,Arkonor,CafeteriaInside
20,28,1,1,73.70,"2024-04-11 20:28:57",Humidity,Arkonor,CafeteriaInside
20,29,1,1,73.80,"2024-04-11 20:29:00",Humidity,Arkonor,CafeteriaInside
20,29,1,1,73.90,"2024-04-11 20:29:03",Humidity,Arkonor,CafeteriaInside
20,29,1,1,73.90,"2024-04-11 20:29:06",Humidity,Arkonor,CafeteriaInside
20,29,1,1,74.00,"2024-04-11 20:29:09",Humidity,Arkonor,CafeteriaInside
20,29,1,1,74.00,"2024-04-11 20:29:12",Humidity,Arkonor,CafeteriaInside
20,29,1,1,74.50,"2024-04-11 20:29:15",Humidity,Arkonor,CafeteriaInside
20,29,1,1,74.60,"2024-04-11 20:29:18",Humidity,Arkonor,CafeteriaInside
20,29,1,1,74.60,"2024-04-11 20:29:21",Humidity,Arkonor,CafeteriaInside
20,29,1,1,74.60,"2024-04-11 20:29:24",Humidity,Arkonor,CafeteriaInside
20,29,1,1,74.40,"2024-04-11 20:29:27",Humidity,Arkonor,CafeteriaInside
20,29,1,1,74.40,"2024-04-11 20:29:30",Humidity,Arkonor,CafeteriaInside
20,29,1,1,74.20,"2024-04-11 20:29:33",Humidity,Arkonor,CafeteriaInside
20,29,1,1,74.20,"2024-04-11 20:29:36",Humidity,Arkonor,CafeteriaInside
20,29,1,1,74.10,"2024-04-11 20:29:39",Humidity,Arkonor,CafeteriaInside
20,29,1,1,74.10,"2024-04-11 20:29:42",Humidity,Arkonor,CafeteriaInside
20,29,1,1,74.00,"2024-04-11 20:29:45",Humidity,Arkonor,CafeteriaInside
20,29,1,1,74.00,"2024-04-11 20:29:48",Humidity,Arkonor,CafeteriaInside
20,29,1,1,74.00,"2024-04-11 20:29:51",Humidity,Arkonor,CafeteriaInside
20,29,1,1,73.80,"2024-04-11 20:29:54",Humidity,Arkonor,CafeteriaInside
20,29,1,1,73.60,"2024-04-11 20:29:57",Humidity,Arkonor,CafeteriaInside
20,30,1,1,73.30,"2024-04-11 20:30:00",Humidity,Arkonor,CafeteriaInside
20,30,1,1,73.30,"2024-04-11 20:30:03",Humidity,Arkonor,CafeteriaInside
20,30,1,1,73.20,"2024-04-11 20:30:15",Humidity,Arkonor,CafeteriaInside
20,30,1,1,73.60,"2024-04-11 20:30:15",Humidity,Arkonor,CafeteriaInside
20,30,1,1,73.60,"2024-04-11 20:30:20",Humidity,Arkonor,CafeteriaInside
20,30,1,1,73.60,"2024-04-11 20:30:21",Humidity,Arkonor,CafeteriaInside
20,30,1,1,73.80,"2024-04-11 20:30:31",Humidity,Arkonor,CafeteriaInside
20,30,1,1,73.90,"2024-04-11 20:30:35",Humidity,Arkonor,CafeteriaInside
20,30,1,1,74.10,"2024-04-11 20:30:37",Humidity,Arkonor,CafeteriaInside
20,30,1,1,74.90,"2024-04-11 20:30:55",Humidity,Arkonor,CafeteriaInside
20,30,1,1,74.90,"2024-04-11 20:30:57",Humidity,Arkonor,CafeteriaInside
